,location,topics,author,title
600,Reference,Reference,"George Eldon Ladd, Robert G. Clouse, Anthony A. Hoekema",The Meaning of the Millennium: Four Views
601,Commentary,Commentary,Michael Wilcock,The Message of Revelation
602,Christian Living,Christian Living,T. W. Hunt,The Mind of Christ: The Transforming Power of Thinking His Thoughts
603,Personal Growth,"Family, Personal Growth","John Townsend, Henry Cloud, John Sims Townsend",The Mom Factor
604,Ministry,Ministry,Dave Gibbons,The Monkey and the Fish: Liquid Leadership for a Third-Culture Church
605,Biography,Biography,David C. Downing,The Most Reluctant Convert: C. S. Lewis's Journey to Faith
606,Devotionals,Devotionals,Elisabeth Elliot,"The Music of His Promises: Listening to God with Love, Trust, and Obedience"
607,Family,Family,James C. Dobson,The New Strong-Willed Child
608,Worship ,Worship ,Barry Wayne Liesch,The New Worship: Straight Talk on Music and the Church
609,Christian Living,Christian Living,Watchman Nee,The Normal Christian Life
610,Personal Growth,"Family, Personal Growth",Gary Chapman,The Other Side of Love: Handling Anger in a Godly Way
611,Ministry,Ministry,"Mike Breen, Walt Kallestad",The Passionate Church: The Art Of Life-Changing Discipleship
612,Christian Living,Christian Living,R. A. Torrey,The Person and Work of The Holy Spirit
613,Reference,Reference,Stephen C. Doyle,The Pilgrim's New Guide to the Holy Land
614,Prayer,"Prayer, Family",Stormie Omartian,The Power of a Praying Parent
615,Prayer,"Prayer, Marriage",Stormiest Omartian,The Power of Praying Wife
616,Prayer,Prayer,Stormie Omartian,The Power of a Praying Woman
617,Prayer,"Prayer, Men's",Stormie Omartian,The Power of a Praying Husband
618,Christian Living,Christian Living,Bill Hybels,"The Power of a Whisper: Hearing God, Having the Guts to Respond"
619,Christian Living,Christian Living,Jerry White,The Power of Commitment: How Ordinary People Can Make an Extraordinary Impact on the World
620,Christian Living,Christian Living,Brother Lawrence,The Practice of the Presence of God
621,Christian Living,"Christian Living, Prayer",Bruce H. Wilkinson,The Prayer of Jabez:  Breaking Through to the Blessed Life
622,Prayer,Prayer,Stormie Omartian,The Prayer That Changes Everything: The Hidden Power of Praising God
623,Christian Living,Christian Living,Timothy Keller,The Prodigal God: Recovering the Heart of the Christian Faith
624,Worship ,Worship ,Myles Munroe,The Purpose and Power of Praise & Worship
625,Christian Living,"Ministry, Christian Living",Rick Warren,The Purpose Driven Church: Every Church Is Big in God's Eyes
626,Christian Living,Christian Living,Rick Warren,The Purpose Driven Life
627,Christian Living,Christian Living,"A. W. Tozer, Jonathan L. Graf",The Pursuit of God with Study Guide
628,Christian Living,Christian Living,Jerry Bridges,The Pursuit of Holiness
629,Christian Living,Christian Living,Brennan Manning,"The Ragamuffin Gospel: Good News for the Bedraggled, Beat-Up, and Burnt Out"
630,Christian Living,Christian Living,Henri J. M. Nouwen,The Return of the Prodigal Son: A Story of Homecoming
631,Christian Living,Christian Living,"Brent Curtis, John Eldredge",The Sacred Romance: Drawing Closer to the Heart of God
632,Biography,Biography,Elisabeth Elliot,The Savage My Kinsman: A True Story
633,Christian Living,Christian Living,Major W. Ian Thomas,The Saving Life of Christ
634,Christian Living,Christian Living,C. S. Lewis,The Screwtape Letters: How a Senior Devil Instructs a Junior Devil in the Art of Temptation
635,Personal Growth,"Christian Living, Personal Growth",Robert S. McGee,The Search For Significance: Seeing Your True Worth Through God's Eyes
636,Ministry,Ministry,Joseph R. Myers,"The Search to Belong: Rethinking Intimacy, Community, and Small Groups"
637,Christian Living,Christian Living,Billy Graham,The Secret of Happiness
638,Personal Growth,"Christian Living, Personal Growth",Maurice E. Wagner,The Sensation of Being Somebody
639,Ministry,Ministry,Bill Donahue & Russ Robinson ,The Seven Deadly Sins of Small Group Ministry
640,Ministry,Ministry,Dr. Wayne Cordeiro,The Seven Rules of Success: Indispensable Wisdom for Successful Living
641,Biography,Biography,Thomas Merton,The Seven Storey Mountain
642,Reference,Reference,Gerd Theissen,The Shadow of the Galilean: The Quest of the Historical Jesus in Narrative Form
643,Christian Living,Christian Living,John MacArthur,"The Silent Shepherd: The Care, Comfort and Correction of the Holy Spirit"
644,Women's,Women's,Donna Otto,The Stay-At-Home Mom
645,Biography,Biography,Maria Augusta Trapp,The Story of the Trapp Family Singers
646,Christian Living,Christian Living,Anthony Campolo,The Success Fantasy
647,Ministry,Ministry,John Piper,The Supremacy of God in Preaching
648,Ministry,Ministry,"Hugh Halter, Matt Smay",The Tangible Kingdom: Creating Incarnational Community
649,Personal Growth,Personal Growth,Francis Frangipane,The Three Battlegrounds
650,Work/Money,Work/Money,Thomas Nelson,The Total Money Makeover: A Proven Plan for Financial Fitness
651,Work/Money,Work/Money,Randy Alcorn,The Treasure Principle: Unlocking the Secret of Joyful Giving
652,Worship ,Worship ,Matt Redman,The Unquenchable Worshipper: Coming Back to the Heart of Worship
653,Ministry,"Christian Living, Ministry",David R. Mains,The Unseen Guest
654,Compassion/Social Justice,"Missions, Compassion/Social Justice",Ray Bakke,THE URBAN CHRISTIAN effective ministry in today's Urban World
655,Christian Living,"Christian Living, Culture",John F. MacArthur,The Vanishing Conscience
656,Ministry,Ministry,Bill Hybels,The Volunteer Revolution: Unleashing the Power of Everybody
657,Worship ,"Work/Money, Worship ",Chris Tomlin,The Way I Was Made: Words and Music for an Unusual Life
658,Christian Living,Christian Living,Henri J. M Nouwen,The way of the heart: Desert spirituality and contemporary ministry
659,Worship ,Worship ,Tom Kraeuter,The Worship Leader's Handbook: Practical Answers to Tough Questions
660,Worship ,Worship ,"Dr. Chuck D. Pierce, John Dickson",The Worship Warrior: Ascending in Worship: Descending in War
661,Christian Living,Christian Living,Henri Nouwen,The Wounded Healer: Ministry in Contemporary Society
662,Missions,Missions,Alma Hagen,Then Nepal's Door Opened
663,Justice/Compassion,Justice/Compassion,Douglas M. Strong,They Walked in the Spirit: Personal Faith and Social Action in America
664,Family,Family,Tony Campolo,Things We Wish We Had Said: Reflections of a Father and His Grown Son
665,Reference,Reference,Max E Anders,Thirty Days to Understanding the Bible
666,Ministry,Ministry,Gary L. McIntosh,Three Generations: Riding the Waves of Change in Your Church
667,Worship ,Worship ,Rory Noland,Thriving as an Artist in the Church: Hope and Help for You and Your Ministry Team
668,Grief,Grief,"Bill Dunn, Kathy Leonard",Through a Season of Grief: Devotions for Your Journey from Mourning to Joy
669,Biography,Biography,Elisabeth Elliot,Through Gates of Splendor
670,Christian Living,Christian Living,"Beth Moore, Dale McCleskey",To Live is Christ: Embracing the Passion of Paul
671,Prayer,Prayer,"Bill Hybels, Lavonne Neff",Too Busy Not to Pray: Slowing Down to Be With God : Including Questions for Reflection and Discussion
672,Ministry,Ministry,Wess Stafford,Too Small to Ignore: Why the Least of These Matters Most
673,Missions,"Biography, Missions",Richard Wurmbrand,Tortured for Christ
674,Ministry,"Ministry, Missions","Tim Chester, Steve Timmis",Total Church: A Radical Reshaping around Gospel and Community
675,Culture,"Christian Living, Culture",Nancy Pearcey,Total Truth: Liberating Christianity From It's Cultural Captivity
676,Prayer,"Missions, Prayer",Wesley L. Duewel,Touch the World Through Prayer
677,Missions,"Missions, Prayer",Wesley L. Duewel,Touch the World Through Prayer
678,Ministry,Ministry,Amy Simpson,Training Youth for Dynamic Leadership
679,Biography,Biography,Corrie ten Boom,Tramp for the Lord
680, Work/Money,Work/Money,"Mary Molewyk Doornbos, Ruth Groenhout, Kendra G. Hotz",Transforming Care: A Christian Vision of Nursing Practice
681,Missions,Missions,Lois Y. Barrett,Treasure in Clay Jars: Patterns in Missional Faithfulness
682,Women's,Women's,Ann Hibbard,Treasured Friends: Finding and Keeping True Friendships
683,Marriage,Marriage,Robbie F. Castleman,"True Love in a World of False Hope: Sex, Romance & Real People"
684,Evangelism,Evangelism,James Choung,True Story: A Christianity Worth Believing In
685,Christian Living,Christian Living,Andrew Murray,True Vine
686,Christian Living,Christian Living,Jerry Bridges,Trusting God: Even When Life Hurts!
687,Christian Living,Christian Living,,Twelve Extraordinary Women
688,Christian Living,Christian Living,John MacArthur,Twelve Ordinary Men
689,Commentary,Commentary,William Barker,Twelve Who Were Chosen: The Disciples of Jesus
690,Worship ,Worship ,Harold M. Best,Unceasing Worship: Biblical Perspectives on Worship and the Arts
691,Ministry,Ministry,Tom Marshall,Understanding Leadership
692,Work/Money,Work/Money,Larry Burkett,Using Your Money Wisely:  Biblical Principles Under Scrutiny
693,Christian Living,Christian Living,Alan Redpath,Victorious Christian Living: Studies in the Book of Joshua
694,Work/Money,Work/Money,Larry Burkett,Victory over Debt : Rediscovering Financial Freedom
695,Personal Growth,Personal Growth,Neil T. Anderson,Victory Over the Darkness: Realizing the Power of Your Identity in Christ
696,Reference,Reference,WVin,Vine's Concise Dictionary Of The Bible - 2005 publication.
697,Christian Living,Christian Living,Andy Stanley,Visioneering: God's Blueprint for Developing and Maintaining Personal Vision
698,Family,"Biography, Family","John Rosati, Kelly Rosati",Wait No More: One Family's Amazing Adoption Journey
699,Ministry,Ministry,"Bill Donahue, Russ G. Robinson",Walking the Small Group Tightrope: Meeting the Challenges Every Group Faces
700,Christian Living,Christian Living,Patrick M. Morley,Walking With Christ in the Details of Life
701,Biography,Biography,Princess Kasune Zulu,Warrior Princess: Fighting for Life with Courage and Hope
702,Youth,Youth,"Dorothy Bass, Don C. Richter, Dorothy C. Bass",Way to Live: Christian Practices for Teens
703,Christian Living,Christian Living,"Roy Hession, Revel Hession",We Would See Jesus
704,Christian Living,Christian Living,Craig Groeschel,WEIRD: Because Normal Isn't Working
705,Compassion/Social Justice,Compassion/Social Justice,"Charles Marsh, John M. Perkins",Welcoming Justice: God's Movement Toward Beloved Community
706,Missions,Missions,Hugh Steven,What a difference a team makes!
707,Missions,Missions,David Livermore,What Can I Do?: Making a Global Difference Right Where You Are
708,Family,Family,Tim Hansel,What Kids Need Most in a Dad
709,Youth,"Youth, Reference",Frances Blankenbaker,"What the Bible Is All About for Young Explorers: Based on the Best-Selling Classic by Henrietta Mears ; Author and General Editor, Frances Blankenba"
710,Women's,Women's,Thelma Wells,What These Girls Knew: How Girls Back Then Talk to Us Today
711,Men's,Men's,James C. Dobson,What Wives Wish Their Husbands Knew About Women
712,Culture ,Culture,"Mike Cope, Rubel Shelly",What Would Jesus Do Today
713,Apologetics,Apologetics,George W. Braswell,What You Need to Know about Islam and Muslims
714,Culture ,"Work/Money, Culture",Larry Burkett,Whatever Happened to the American Dream
715,Personal Growth,"Christian Living, Personal Growth",James Dobson,When God Doesn't Make Sense
716,Grief,"Christian Living, Grief",Alex Gee,When God Lets You Down: Trusting Again After Pain and Loss
717,Marriage,Marriage,"Eric Ludy, Leslie Ludy",When God Writes Your Love Story: The Ultimate Approach to Guy/Girl Relationships
718,Christian Living,Christian Living,Beth Moore,When Godly People Do Ungodly Things: Arming Yourself in the Age of Seduction
719,Christian Living,Christian Living,John Ortberg,"When the Game Is Over, It All Goes Back in the Box"
720,Christian Living,Christian Living,Gene A. Getz,When the Pressure's On
721,Christian Living,"Christian Living, Grief",Philip Yancey,Where Is God When It Hurts?
722,Christian Living,Christian Living,Charles Colson,Who Speaks for God?
723,Christian Living,Christian Living,Bill Hybels,"Who You Are When No One's Looking: Choosing Consistency, Resisting Compromise"
724,Apologetics,Apologetics,D. James Kennedy,Why I Believe
725,Ministry,Ministry,David Murrow,Why Men Hate Going to Church
726,Culture,Culture,RANDY ALCORN,WHY PRO - LIFE ? : CARING FOR THE UNBORN AND THEIR MOTHERS
727,Christian Living,Christian Living,Tom Sine,Why settle for more and miss the best?: Linking your life to the purposes of God
728,Christian Living,Christian Living,Anne Graham Lotz,Why?: Trusting God When You Don't Understand
729,Women's,Women's,Luci Swindoll,"Wide My World, Narrow My Bed: Living and Loving the Single Life"
730,Men's,Men's,John Eldredge,Wild at Heart Field Manual: A Personal Guide to Discover the Secret of Your Masculine Soul [Paperback] [2002] (Author) John Eldredge
731,Men's,Men's,John Eldredge,Wild at Heart: Discovering The Secret of a Man's Soul
732,Christian Living,Christian Living,Mark Batterson,Wild Goose Chase: Reclaim the Adventure of Pursuing God
733,Prayer,Prayer,Andrew Murray,With Christ in the School of Prayer
734,Compassion/Social Justice,Compassion/Social Justice,John Perkins,With justice for all
735,Women's,Women's,Glenda Revell,With Love from a Mother's Heart
736,Ministry,Women’s,"Bonnidell Clouse, Robert G. Clouse",Women in Ministry: Four Views
737,Women,"Work/Money, Women",Larry Burkett,Women Leaving the Workplace: How to Make the Transition from Work to Home
738,Worship ,Worship ,Sally Morgenthaler,Worship Evangelism
739,Personal Growth,Personal Growth,Rita Bennett,You Can Be Emotionally Free
740,Men's ,Men's,Jeff Konrad,You Don't Have to Be Gay: Hope and Freedom for Males Struggling With Homosexuality or for Those Who Know of Someone Who Is
741,Ministry,Ministry,"Steve Thompson, MorningStar Publications, Inc.",You May All Prophesy
742,Work/Money,Work/Money,"Lee Ellis, Larry Burkett",Your Career in Changing Times
743,Work/Money,Work/Money,Larry Burkett,Your Finances In Changing Times
744,Work/Money,Work/Money,Howard Lape Dayton,Your Money: Frustration or Freedom
745,Ministry,Ministry,C. Peter Wagner,Your Spiritual Gifts Can Help Your Church Grow
746,Work/Money,Work/Money,"Doug Sherman, William D Hendricks",Your Work Matters to God
747,Biography,Biography,Brother Andrew,God's Smuggler
748,Christian Living,Christian Living,Jill Briscoe,"here am I, Lord. . .  send somebody else"
749,Christian Living,Christian Living,Jerry Bridges,The Practice of Godliness
750,Christian Living,Christian Living,Oswald Chambers,The Complete Works of Oswald Chambers
751,Christian Living,Christian Living,William Griffin; Ruth Graham Dienert,The Faithful Christian: An Anthology of Billy Graham
752,Christian Living,Christian Living,Billy Graham,Angels: God's Secret Agents
753,Christian Living,Christian Living,Harry R. Jackson Jr.,The Warrior's Heart: Rules for Engagement for the Spiritual War Zone
754,Christian Living,Christian Living,C. S. Lewis,The Pilgrim's Regress
755,Christian Living,Christian Living,C. S. Lewis,The Seeing Eye
756,Christian Living,Christian Living,Earl Palmer,The 24-Hour Christian: How to stay close to Jesus when the world tugs hard
757,Christian Living,Christian Living,Charlies R. Swindoll,A Man of Absolute Integrity: Joseph
758,Christian Living,Christian Living,Charlies R. Swindoll,Moses: A Man of Selfless Dedication
759,Christian Living,Christian Living,Charlies R. Swindoll,The Grace Awakening 
760,Reference,Reference,Naci Keskin,Ephesus
761,Christian Living,Christian Living,Charles Farah,Faith or Presumption? From the Pinnacle of the Temple
762,Missing,Missing,Billy Graham,The Billy Graham Christian Worker's Handbook: A Topical Guide with Biblical Answers to the Urgent Concerns of Our Day
763,Missing,Missing,Carl Lawrence,The Church in China: How it Survives and Prospers Under Communism
